"SYMBOL","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE(₹ Crores)","NAV","52W H","52W L","30D  %CHNG","365 D","365 D % CHNG","30 D"
"MOM100","Nifty Midcap 100","56.59","57.04","55.00","56.87","56.97","-","0.10","0.18","5,63,271","3.19","57.03","66.45","50.30",6.96,"09-May-2024","7.24","09-Apr-2025"
"MOMENTUM50","Nifty 500 Momentum 50 Total Return Index","48.96","49.20","47.82","49.11","49.20","-","0.09","0.18","6,54,929","3.18","49.12","66.00","42.40",9.84,"-","-","09-Apr-2025"
"EBBETF0430","Nifty BHARAT Bond","1,540.00","1,540.00","1,479.45","1,501.51","1,504.15","-","2.64","0.18","18,317","2.75","1,498.16","1,546.87","1,316.00",1.16,"09-May-2024","10.57","09-Apr-2025"
"NV20BEES","Nifty50 Value20 TRI","144.25","145.50","143.48","145.26","145.50","-","0.24","0.17","14,729","0.21","145.54","175.00","130.00",6.44,"09-May-2024","3.05","09-Apr-2025"
"LTGILTBEES","NIFTY 8-13 yr G-Sec Index","28.59","28.67","28.49","28.59","28.64","-","0.05","0.17","46,77,133","13.36","28.53","29.00","25.51",0.92,"09-May-2024","11.94","09-Apr-2025"
"GSEC5IETF","Nifty 5 yr Benchmark G-Sec Index","61.52","62.14","61.51","61.51","61.60","-","0.09","0.15","1,233","0.01","61.68","66.00","55.30",1.25,"09-May-2024","11.07","09-Apr-2025"
"QUAL30IETF","ICICI Prudential Nifty 200 Quality 30 ETF","19.88","20.03","19.83","20.00","20.03","-","0.03","0.15","1,25,788","0.25","19.99","26.50","18.01",5.11,"09-May-2024","-89.39","09-Apr-2025"
"LOWVOL","Mirae Asset Nifty 100 Low Volatility 30 ETF","194.84","195.20","194.29","194.84","195.11","-","0.27","0.14","824","0.02","195.69","227.00","159.00",5.27,"09-May-2024","9.51","09-Apr-2025"
"SILVERADD","DSP Silver ETF","92.57","94.00","92.57","93.30","93.43","-","0.13","0.14","69,285","0.65","93.04","98.69","77.20",6.06,"09-May-2024","15.51","09-Apr-2025"
"UTINEXT50","Nifty Next 50","66.78","66.98","65.12","66.89","66.98","-","0.09","0.13","6,26,384","4.16","66.88","83.00","59.90",3.17,"09-May-2024","-0.79","09-Apr-2025"
